Rank,Model_ID,Model_Name,Completeness,Content Quality,Content Richness,Correctness,Human Preference Alignment,Image-Text Coherency,Multi-step Consistency,Overall
1,10,Human,8.77,8.38,7.42,8.65,9.03,8.86,8.89,8.57
2,5,GPT-4o+DALL-E3,8.66,8.01,7.42,7.98,8.77,8.15,8.38,8.2
3,7,Gemini1.5+Flux,7.58,7.26,6.48,7.03,7.98,6.98,7.33,7.23
4,1,SEED-X,5.65,6.07,4.92,5.77,7.03,5.72,5.72,5.84
5,8,Anole,6.27,6.02,5.28,5.06,6.91,4.9,5.81,5.75
6,9,SEED-LLaMA,5.59,5.5,4.61,4.59,6.5,4.43,5.13,5.19
7,6,Emu2,4.76,5.24,4.31,4.69,6.12,4.58,5.03,4.96
8,3,GILL,4.33,5.01,3.88,4.11,5.99,4.21,4.35,4.55
9,0,Show-o,4.37,4.79,3.83,3.76,5.78,4.04,4.33,4.41
10,4,MiniGPT-5,3.91,4.5,3.61,3.63,5.51,3.56,4.1,4.12
11,2,NExT-GPT,3.89,4.25,3.35,3.61,5.35,3.32,3.85,3.95
